connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
645;49.00776771833622,2.1965029019130347;"{""coordinates"": [2.196502901913035, 49.00776771833622], ""type"": ""Point""}";559;Montigny-Beauchamp;;;66335;Montigny - Beauchamp;43166;Montigny - Beauchamp;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;641216.4811;6878949.6337;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Montigny-Beauchamp
361;48.860351433091736,2.32675977444181;"{""coordinates"": [2.32675977444181, 48.860351433091736], ""type"": ""Point""}";574;Musée d'Orsay;;;71269;Musée d'Orsay;45705;Musée d'Orsay;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;650606.0;6862468.0;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Musée d'Orsay
632;48.87790843722566,2.2844312199167676;"{""coordinates"": [2.284431219916768, 48.87790843722566], ""type"": ""Point""}";590;Neuilly Porte Maillot;Palais des Congrès;;71379;Porte Maillot;415093;Neuilly Porte Maillot;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;647518.2308;6864447.5037;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Neuilly Porte Maillot
454;48.741878704743876,2.4029086073679395;"{""coordinates"": [2.40290860736794, 48.741878704743876], ""type"": ""Point""}";611;Orly Ville;;;69639;Orly Ville;46299;Orly Ville;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;656093.1327;6849250.5092;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Orly Ville
828;48.84252802674902,2.3654333833527588;"{""coordinates"": [2.365433383352759, 48.84252802674902], ""type"": ""Point""}";38;Paris Austerlitz;;;71135;Gare d'Austerlitz;462352;Gare d'Austerlitz;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;1;653427.3991;6860462.7023;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Paris Austerlitz
688;48.88604139898206,2.299279102380643;"{""coordinates"": [2.299279102380643, 48.88604139898206], ""type"": ""Point""}";632;Pereire-Levallois;;;71453;Péreire;44314;Péreire Levallois;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;648615.2115;6865342.0675;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Pereire-Levallois
380;48.77163431277776,2.146972741512856;"{""coordinates"": [2.146972741512856, 48.77163431277776], ""type"": ""Point""}";638;Petit-Jouy-les-Loges;;;63594;Petit Jouy Les Loges;57674;Petit Jouy Les Loges;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;637309.3571;6852731.511;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Petit-Jouy-les-Loges
960;49.019136738908486,2.1546634856409232;"{""coordinates"": [2.154663485640923, 49.019136738908486], ""type"": ""Point""}";645;Pierrelaye;;;66491;Pierrelaye;43180;Pierrelaye;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;638169.176;6880245.8814;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Pierrelaye
141;48.86266245075987,2.300989969386769;"{""coordinates"": [2.300989969386769, 48.86266245075987], ""type"": ""Point""}";664;Pont de l'Alma;;;71271;Pont de l'Alma;415091;Pont de l'Alma;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;648717.6553;6862741.3932;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Pont de l'Alma
611;48.748349681429666,2.373111940704934;"{""coordinates"": [2.373111940704934, 48.748349681429666], ""type"": ""Point""}";670;Pont de Rungis;Aéroport d'Orly;;69677;Pont de Rungis Aéroport d'Orly;47907;Pont de Rungis Aéroport d'Orly;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;653907.804;6849986.9378;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Pont de Rungis
